0.06.260.211 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.06.260.443 I srv          init: The UI is disabled
0.06.260.444 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.06.269.783 I srv    load_model: loading model '<LOCAL_RUNTIME>\models\Qwen3.5-4B-Q4_K_M.gguf'
0.08.266.918 I cmn          init: llama threadpool init, n_threads = 6
0.08.362.689 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.08.362.845 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.08.369.504 I srv  llama_server: model loaded
0.08.369.519 I srv  llama_server: listening on http://127.0.0.1:18085
8.48.671.218 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
9.05.841.461 I slot print_timing: id  0 | task 864 | prompt eval time =     508.52 ms /   923 tokens (    0.55 ms per token,  1815.07 tokens per second)
9.05.841.471 I slot print_timing: id  0 | task 864 |        eval time =    1161.45 ms /    83 tokens (   14.16 ms per token,    70.60 tokens per second)
9.05.841.473 I slot print_timing: id  0 | task 864 |       total time =    1669.97 ms /  1006 tokens
9.05.841.474 I slot print_timing: id  0 | task 864 |    graphs reused =        920
9.05.841.552 I slot      release: id  0 | task 864 | stop processing: n_tokens = 1005, truncated = 0
9.05.857.896 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 539584662
9.05.858.128 I slot launch_slot_: id  0 | task 952 | processing task, is_child = 0
9.08.677.152 I slot print_timing: id  0 | task 952 | prompt eval time =     688.10 ms /  1423 tokens (    0.48 ms per token,  2068.00 tokens per second)
9.08.677.160 I slot print_timing: id  0 | task 952 |        eval time =    2130.90 ms /   183 tokens (   11.71 ms per token,    85.41 tokens per second)
9.08.677.161 I slot print_timing: id  0 | task 952 |       total time =    2819.01 ms /  1606 tokens
9.08.677.162 I slot print_timing: id  0 | task 952 |    graphs reused =       1103
9.08.677.270 I slot      release: id  0 | task 952 | stop processing: n_tokens = 1605, truncated = 0
9.08.685.163 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 542420380
9.08.685.681 I slot launch_slot_: id  0 | task 1141 | processing task, is_child = 0
9.11.418.238 I slot print_timing: id  0 | task 1141 | prompt eval time =     795.33 ms /  1676 tokens (    0.47 ms per token,  2107.29 tokens per second)
9.11.418.246 I slot print_timing: id  0 | task 1141 |        eval time =    1937.21 ms /   143 tokens (   13.64 ms per token,    73.30 tokens per second)
9.11.418.248 I slot print_timing: id  0 | task 1141 |       total time =    2732.54 ms /  1819 tokens
9.11.418.249 I slot print_timing: id  0 | task 1141 |    graphs reused =       1246
9.11.418.376 I slot      release: id  0 | task 1141 | stop processing: n_tokens = 1818, truncated = 0
9.11.423.662 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 545161486
9.11.423.902 I slot launch_slot_: id  0 | task 1290 | processing task, is_child = 0
9.12.607.820 I slot print_timing: id  0 | task 1290 | prompt eval time =     318.95 ms /   654 tokens (    0.49 ms per token,  2050.45 tokens per second)
9.12.607.830 I slot print_timing: id  0 | task 1290 |        eval time =     864.95 ms /    79 tokens (   11.09 ms per token,    90.18 tokens per second)
9.12.607.831 I slot print_timing: id  0 | task 1290 |       total time =    1183.90 ms /   733 tokens
9.12.607.833 I slot print_timing: id  0 | task 1290 |    graphs reused =       1324
9.12.607.902 I slot      release: id  0 | task 1290 | stop processing: n_tokens = 732, truncated = 0
9.12.651.939 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 546351012
9.12.652.169 I slot launch_slot_: id  0 | task 1373 | processing task, is_child = 0
9.16.362.498 I slot print_timing: id  0 | task 1373 | n_gen =    269, tg =  89.09 t/s, tg_3s =  89.42 t/s
9.16.373.472 I slot print_timing: id  0 | task 1373 | prompt eval time =     702.05 ms /  1681 tokens (    0.42 ms per token,  2394.42 tokens per second)
9.16.373.479 I slot print_timing: id  0 | task 1373 |        eval time =    3019.23 ms /   270 tokens (   11.22 ms per token,    89.10 tokens per second)
9.16.373.481 I slot print_timing: id  0 | task 1373 |       total time =    3721.28 ms /  1951 tokens
9.16.373.482 I slot print_timing: id  0 | task 1373 |    graphs reused =       1595
9.16.373.593 I slot      release: id  0 | task 1373 | stop processing: n_tokens = 1950, truncated = 0
9.16.400.379 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 550116703
9.16.400.856 I slot launch_slot_: id  0 | task 1649 | processing task, is_child = 0
9.19.379.025 I slot print_timing: id  0 | task 1649 | prompt eval time =     893.20 ms /  2021 tokens (    0.44 ms per token,  2262.64 tokens per second)
9.19.379.036 I slot print_timing: id  0 | task 1649 |        eval time =    2084.94 ms /   150 tokens (   13.99 ms per token,    71.46 tokens per second)
9.19.379.038 I slot print_timing: id  0 | task 1649 |       total time =    2978.15 ms /  2171 tokens
9.19.379.039 I slot print_timing: id  0 | task 1649 |    graphs reused =       1747
9.19.379.199 I slot      release: id  0 | task 1649 | stop processing: n_tokens = 2170, truncated = 0
9.19.384.226 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 553122309
9.19.384.419 I slot launch_slot_: id  0 | task 1806 | processing task, is_child = 0
9.20.984.249 I slot print_timing: id  0 | task 1806 | prompt eval time =     458.63 ms /   923 tokens (    0.50 ms per token,  2012.51 tokens per second)
9.20.984.259 I slot print_timing: id  0 | task 1806 |        eval time =    1141.18 ms /   103 tokens (   11.19 ms per token,    89.38 tokens per second)
9.20.984.260 I slot print_timing: id  0 | task 1806 |       total time =    1599.81 ms /  1026 tokens
9.20.984.262 I slot print_timing: id  0 | task 1806 |    graphs reused =       1849
9.20.984.341 I slot      release: id  0 | task 1806 | stop processing: n_tokens = 1025, truncated = 0
9.21.036.841 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 554727451
9.21.037.097 I slot launch_slot_: id  0 | task 1914 | processing task, is_child = 0
9.24.712.878 I slot print_timing: id  0 | task 1914 | n_gen =    253, tg =  83.90 t/s, tg_3s =  84.23 t/s
9.26.727.088 I slot print_timing: id  0 | task 1914 | prompt eval time =     672.02 ms /  1420 tokens (    0.47 ms per token,  2113.02 tokens per second)
9.26.727.097 I slot print_timing: id  0 | task 1914 |        eval time =    5017.93 ms /   424 tokens (   11.86 ms per token,    84.30 tokens per second)
9.26.727.098 I slot print_timing: id  0 | task 1914 |       total time =    5689.96 ms /  1844 tokens
9.26.727.099 I slot print_timing: id  0 | task 1914 |    graphs reused =       2272
9.26.727.214 I slot      release: id  0 | task 1914 | stop processing: n_tokens = 1843, truncated = 0
9.26.736.367 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 560470324
9.26.736.906 I slot launch_slot_: id  0 | task 2344 | processing task, is_child = 0
9.29.633.939 I slot print_timing: id  0 | task 2344 | prompt eval time =     852.44 ms /  1914 tokens (    0.45 ms per token,  2245.31 tokens per second)
9.29.633.948 I slot print_timing: id  0 | task 2344 |        eval time =    2044.57 ms /   127 tokens (   16.23 ms per token,    61.63 tokens per second)
9.29.633.950 I slot print_timing: id  0 | task 2344 |       total time =    2897.01 ms /  2041 tokens
9.29.633.951 I slot print_timing: id  0 | task 2344 |    graphs reused =       2401
9.29.634.089 I slot      release: id  0 | task 2344 | stop processing: n_tokens = 2040, truncated = 0
9.29.639.647 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 563377199
9.29.640.021 I slot launch_slot_: id  0 | task 2478 | processing task, is_child = 0
9.30.708.136 I slot print_timing: id  0 | task 2478 | prompt eval time =     323.96 ms /   653 tokens (    0.50 ms per token,  2015.69 tokens per second)
9.30.708.146 I slot print_timing: id  0 | task 2478 |        eval time =     744.14 ms /    67 tokens (   11.27 ms per token,    88.69 tokens per second)
9.30.708.147 I slot print_timing: id  0 | task 2478 |       total time =    1068.09 ms /   720 tokens
9.30.708.148 I slot print_timing: id  0 | task 2478 |    graphs reused =       2467
9.30.708.227 I slot      release: id  0 | task 2478 | stop processing: n_tokens = 719, truncated = 0
9.30.779.485 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 564451336
9.30.779.870 I slot launch_slot_: id  0 | task 2549 | processing task, is_child = 0
9.32.727.410 I slot print_timing: id  0 | task 2549 | prompt eval time =     713.87 ms /  1467 tokens (    0.49 ms per token,  2055.00 tokens per second)
9.32.727.418 I slot print_timing: id  0 | task 2549 |        eval time =    1233.65 ms /   107 tokens (   11.64 ms per token,    85.92 tokens per second)
9.32.727.420 I slot print_timing: id  0 | task 2549 |       total time =    1947.52 ms /  1574 tokens
9.32.727.421 I slot print_timing: id  0 | task 2549 |    graphs reused =       2574
9.32.727.532 I slot      release: id  0 | task 2549 | stop processing: n_tokens = 1573, truncated = 0
9.32.736.528 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 566470642
9.32.737.055 I slot launch_slot_: id  0 | task 2662 | processing task, is_child = 0
9.35.752.049 I slot print_timing: id  0 | task 2662 | prompt eval time =     762.48 ms /  1644 tokens (    0.46 ms per token,  2156.13 tokens per second)
9.35.752.058 I slot print_timing: id  0 | task 2662 |        eval time =    2252.49 ms /   142 tokens (   15.98 ms per token,    62.60 tokens per second)
9.35.752.060 I slot print_timing: id  0 | task 2662 |       total time =    3014.97 ms /  1786 tokens
9.35.752.061 I slot print_timing: id  0 | task 2662 |    graphs reused =       2717
9.35.752.186 I slot      release: id  0 | task 2662 | stop processing: n_tokens = 1785, truncated = 0
9.35.757.044 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 569495296
9.35.757.415 I slot launch_slot_: id  0 | task 2810 | processing task, is_child = 0
9.37.326.303 I slot print_timing: id  0 | task 2810 | prompt eval time =     374.97 ms /   704 tokens (    0.53 ms per token,  1877.48 tokens per second)
9.37.326.312 I slot print_timing: id  0 | task 2810 |        eval time =    1193.90 ms /   102 tokens (   11.82 ms per token,    84.60 tokens per second)
9.37.326.314 I slot print_timing: id  0 | task 2810 |       total time =    1568.87 ms /   806 tokens
9.37.326.315 I slot print_timing: id  0 | task 2810 |    graphs reused =       2817
9.37.326.386 I slot      release: id  0 | task 2810 | stop processing: n_tokens = 805, truncated = 0
9.37.401.357 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 571069496
9.37.401.743 I slot launch_slot_: id  0 | task 2916 | processing task, is_child = 0
9.40.625.680 I slot print_timing: id  0 | task 2916 | prompt eval time =     606.10 ms /  1441 tokens (    0.42 ms per token,  2377.50 tokens per second)
9.40.625.689 I slot print_timing: id  0 | task 2916 |        eval time =    2617.82 ms /   235 tokens (   11.19 ms per token,    89.39 tokens per second)
9.40.625.690 I slot print_timing: id  0 | task 2916 |       total time =    3223.92 ms /  1676 tokens
9.40.625.691 I slot print_timing: id  0 | task 2916 |    graphs reused =       3052
9.40.625.797 I slot      release: id  0 | task 2916 | stop processing: n_tokens = 1675, truncated = 0
9.40.645.108 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 574368907
9.40.645.644 I slot launch_slot_: id  0 | task 3157 | processing task, is_child = 0
9.43.338.126 I slot print_timing: id  0 | task 3157 | prompt eval time =     756.83 ms /  1746 tokens (    0.43 ms per token,  2306.99 tokens per second)
9.43.338.138 I slot print_timing: id  0 | task 3157 |        eval time =    1935.62 ms /   144 tokens (   13.54 ms per token,    73.88 tokens per second)
9.43.338.139 I slot print_timing: id  0 | task 3157 |       total time =    2692.45 ms /  1890 tokens
9.43.338.140 I slot print_timing: id  0 | task 3157 |    graphs reused =       3197
9.43.338.308 I slot      release: id  0 | task 3157 | stop processing: n_tokens = 1889, truncated = 0
9.43.343.919 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 577081418
9.43.344.305 I slot launch_slot_: id  0 | task 3308 | processing task, is_child = 0
9.44.405.734 I slot print_timing: id  0 | task 3308 | prompt eval time =     327.02 ms /   672 tokens (    0.49 ms per token,  2054.93 tokens per second)
9.44.405.743 I slot print_timing: id  0 | task 3308 |        eval time =     734.39 ms /    67 tokens (   11.13 ms per token,    89.87 tokens per second)
9.44.405.745 I slot print_timing: id  0 | task 3308 |       total time =    1061.41 ms /   739 tokens
9.44.405.746 I slot print_timing: id  0 | task 3308 |    graphs reused =       3263
9.44.405.817 I slot      release: id  0 | task 3308 | stop processing: n_tokens = 738, truncated = 0
9.44.421.059 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 578148927
9.44.421.275 I slot launch_slot_: id  0 | task 3379 | processing task, is_child = 0
9.46.723.708 I slot print_timing: id  0 | task 3379 | prompt eval time =     565.07 ms /  1319 tokens (    0.43 ms per token,  2334.24 tokens per second)
9.46.723.716 I slot print_timing: id  0 | task 3379 |        eval time =    1737.35 ms /   156 tokens (   11.21 ms per token,    89.22 tokens per second)
9.46.723.717 I slot print_timing: id  0 | task 3379 |       total time =    2302.42 ms /  1475 tokens
9.46.723.718 I slot print_timing: id  0 | task 3379 |    graphs reused =       3420
9.46.723.822 I slot      release: id  0 | task 3379 | stop processing: n_tokens = 1474, truncated = 0
9.46.731.518 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 580466932
9.46.732.177 I slot launch_slot_: id  0 | task 3541 | processing task, is_child = 0
9.49.821.590 I slot print_timing: id  0 | task 3541 | prompt eval time =     675.94 ms /  1545 tokens (    0.44 ms per token,  2285.71 tokens per second)
9.49.821.600 I slot print_timing: id  0 | task 3541 |        eval time =    2413.45 ms /   142 tokens (   17.12 ms per token,    58.42 tokens per second)
9.49.821.602 I slot print_timing: id  0 | task 3541 |       total time =    3089.39 ms /  1687 tokens
9.49.821.603 I slot print_timing: id  0 | task 3541 |    graphs reused =       3563
9.49.821.742 I slot      release: id  0 | task 3541 | stop processing: n_tokens = 1686, truncated = 0
9.49.871.707 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 583564852
9.49.872.105 I slot launch_slot_: id  0 | task 3689 | processing task, is_child = 0
9.53.716.741 I slot print_timing: id  0 | task 3689 | n_gen =    231, tg =  76.64 t/s, tg_3s =  76.97 t/s
9.54.398.608 I slot print_timing: id  0 | task 3689 | prompt eval time =     843.38 ms /  1682 tokens (    0.50 ms per token,  1994.35 tokens per second)
9.54.398.617 I slot print_timing: id  0 | task 3689 |        eval time =    3683.10 ms /   283 tokens (   13.06 ms per token,    76.57 tokens per second)
9.54.398.618 I slot print_timing: id  0 | task 3689 |       total time =    4526.48 ms /  1965 tokens
9.54.398.619 I slot print_timing: id  0 | task 3689 |    graphs reused =       3847
9.54.398.738 I slot      release: id  0 | task 3689 | stop processing: n_tokens = 1964, truncated = 0
9.54.422.383 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 588141848
9.54.422.892 I slot launch_slot_: id  0 | task 3978 | processing task, is_child = 0
9.57.463.542 I slot print_timing: id  0 | task 3978 | prompt eval time =     958.98 ms /  2035 tokens (    0.47 ms per token,  2122.04 tokens per second)
9.57.463.553 I slot print_timing: id  0 | task 3978 |        eval time =    2081.65 ms /   152 tokens (   13.79 ms per token,    72.54 tokens per second)
9.57.463.555 I slot print_timing: id  0 | task 3978 |       total time =    3040.63 ms /  2187 tokens
9.57.463.556 I slot print_timing: id  0 | task 3978 |    graphs reused =       4001
9.57.463.703 I slot      release: id  0 | task 3978 | stop processing: n_tokens = 2186, truncated = 0
9.57.504.220 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 591206813
9.57.504.653 I slot launch_slot_: id  0 | task 4137 | processing task, is_child = 0
10.00.438.932 I slot print_timing: id  0 | task 4137 | prompt eval time =     866.94 ms /  1743 tokens (    0.50 ms per token,  2010.52 tokens per second)
10.00.438.942 I slot print_timing: id  0 | task 4137 |        eval time =    2067.32 ms /   158 tokens (   13.17 ms per token,    75.94 tokens per second)
10.00.438.944 I slot print_timing: id  0 | task 4137 |       total time =    2934.26 ms /  1901 tokens
10.00.438.946 I slot print_timing: id  0 | task 4137 |    graphs reused =       4160
10.00.439.074 I slot      release: id  0 | task 4137 | stop processing: n_tokens = 1900, truncated = 0
10.00.448.388 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 594182184
10.00.448.927 I slot launch_slot_: id  0 | task 4302 | processing task, is_child = 0
10.03.684.579 I slot print_timing: id  0 | task 4302 | prompt eval time =    1027.88 ms /  1971 tokens (    0.52 ms per token,  1917.54 tokens per second)
10.03.684.589 I slot print_timing: id  0 | task 4302 |        eval time =    2207.75 ms /   148 tokens (   15.02 ms per token,    66.58 tokens per second)
10.03.684.590 I slot print_timing: id  0 | task 4302 |       total time =    3235.63 ms /  2119 tokens
10.03.684.591 I slot print_timing: id  0 | task 4302 |    graphs reused =       4310
10.03.684.734 I slot      release: id  0 | task 4302 | stop processing: n_tokens = 2118, truncated = 0
10.03.749.238 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 597427844
10.03.749.653 I slot launch_slot_: id  0 | task 4457 | processing task, is_child = 0
10.06.455.713 I slot print_timing: id  0 | task 4457 | prompt eval time =     790.37 ms /  1488 tokens (    0.53 ms per token,  1882.67 tokens per second)
10.06.455.726 I slot print_timing: id  0 | task 4457 |        eval time =    1915.67 ms /   144 tokens (   13.40 ms per token,    74.65 tokens per second)
10.06.455.728 I slot print_timing: id  0 | task 4457 |       total time =    2706.04 ms /  1632 tokens
10.06.455.729 I slot print_timing: id  0 | task 4457 |    graphs reused =       4454
10.06.455.867 I slot      release: id  0 | task 4457 | stop processing: n_tokens = 1631, truncated = 0
10.06.475.903 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 600198978
10.06.476.425 I slot launch_slot_: id  0 | task 4607 | processing task, is_child = 0
10.09.216.161 I slot print_timing: id  0 | task 4607 | prompt eval time =     845.06 ms /  1702 tokens (    0.50 ms per token,  2014.06 tokens per second)
10.09.216.171 I slot print_timing: id  0 | task 4607 |        eval time =    1894.65 ms /   149 tokens (   12.80 ms per token,    78.11 tokens per second)
10.09.216.172 I slot print_timing: id  0 | task 4607 |       total time =    2739.71 ms /  1851 tokens
10.09.216.173 I slot print_timing: id  0 | task 4607 |    graphs reused =       4604
10.09.216.303 I slot      release: id  0 | task 4607 | stop processing: n_tokens = 1850, truncated = 0
10.09.264.950 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 602959413
10.09.265.386 I slot launch_slot_: id  0 | task 4763 | processing task, is_child = 0
10.13.020.383 I slot print_timing: id  0 | task 4763 | n_gen =    264, tg =  87.64 t/s, tg_3s =  87.98 t/s
10.14.262.777 I slot print_timing: id  0 | task 4763 | prompt eval time =     754.14 ms /  1750 tokens (    0.43 ms per token,  2320.53 tokens per second)
10.14.262.786 I slot print_timing: id  0 | task 4763 |        eval time =    4243.23 ms /   374 tokens (   11.38 ms per token,    87.90 tokens per second)
10.14.262.787 I slot print_timing: id  0 | task 4763 |       total time =    4997.37 ms /  2124 tokens
10.14.262.788 I slot print_timing: id  0 | task 4763 |    graphs reused =       4978
10.14.262.906 I slot      release: id  0 | task 4763 | stop processing: n_tokens = 2123, truncated = 0
10.14.296.815 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 608006016
10.14.297.362 I slot launch_slot_: id  0 | task 5144 | processing task, is_child = 0
10.17.187.918 I slot print_timing: id  0 | task 5144 | prompt eval time =     936.07 ms /  2194 tokens (    0.43 ms per token,  2343.83 tokens per second)
10.17.187.928 I slot print_timing: id  0 | task 5144 |        eval time =    1954.45 ms /   149 tokens (   13.21 ms per token,    75.72 tokens per second)
10.17.187.930 I slot print_timing: id  0 | task 5144 |       total time =    2890.53 ms /  2343 tokens
10.17.187.932 I slot print_timing: id  0 | task 5144 |    graphs reused =       5130
10.17.188.190 I slot      release: id  0 | task 5144 | stop processing: n_tokens = 2342, truncated = 0
10.17.304.248 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 610931301
10.17.304.567 I slot launch_slot_: id  0 | task 5301 | processing task, is_child = 0
10.21.044.503 I slot print_timing: id  0 | task 5301 | n_gen =    240, tg =  79.60 t/s, tg_3s =  79.93 t/s
10.23.976.648 I slot print_timing: id  0 | task 5301 | prompt eval time =     737.23 ms /  1464 tokens (    0.50 ms per token,  1985.81 tokens per second)
10.23.976.657 I slot print_timing: id  0 | task 5301 |        eval time =    5934.82 ms /   459 tokens (   12.96 ms per token,    77.17 tokens per second)
10.23.976.658 I slot print_timing: id  0 | task 5301 |       total time =    6672.06 ms /  1923 tokens
10.23.976.660 I slot print_timing: id  0 | task 5301 |    graphs reused =       5588
10.23.976.775 I slot      release: id  0 | task 5301 | stop processing: n_tokens = 1922, truncated = 0
10.23.985.896 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 617719885
10.23.986.490 I slot launch_slot_: id  0 | task 5766 | processing task, is_child = 0
10.27.264.785 I slot print_timing: id  0 | task 5766 | prompt eval time =     998.09 ms /  1993 tokens (    0.50 ms per token,  1996.81 tokens per second)
10.27.264.794 I slot print_timing: id  0 | task 5766 |        eval time =    2280.18 ms /   150 tokens (   15.30 ms per token,    65.35 tokens per second)
10.27.264.795 I slot print_timing: id  0 | task 5766 |       total time =    3278.27 ms /  2143 tokens
10.27.264.796 I slot print_timing: id  0 | task 5766 |    graphs reused =       5740
10.27.264.911 I slot      release: id  0 | task 5766 | stop processing: n_tokens = 2142, truncated = 0
10.27.321.004 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 621008021
10.27.321.290 I slot launch_slot_: id  0 | task 5923 | processing task, is_child = 0
10.31.097.247 I slot print_timing: id  0 | task 5923 | n_gen =    263, tg =  87.05 t/s, tg_3s =  87.38 t/s
10.32.026.217 I slot print_timing: id  0 | task 5923 | prompt eval time =     766.00 ms /  1547 tokens (    0.50 ms per token,  2019.59 tokens per second)
10.32.026.226 I slot print_timing: id  0 | task 5923 |        eval time =    3938.91 ms /   342 tokens (   11.55 ms per token,    86.57 tokens per second)
10.32.026.228 I slot print_timing: id  0 | task 5923 |       total time =    4704.90 ms /  1889 tokens
10.32.026.229 I slot print_timing: id  0 | task 5923 |    graphs reused =       6082
10.32.026.320 I slot      release: id  0 | task 5923 | stop processing: n_tokens = 1888, truncated = 0
10.32.035.651 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 625769430
10.32.036.167 I slot launch_slot_: id  0 | task 6271 | processing task, is_child = 0
10.34.881.187 I slot print_timing: id  0 | task 6271 | prompt eval time =     872.69 ms /  1959 tokens (    0.45 ms per token,  2244.78 tokens per second)
10.34.881.195 I slot print_timing: id  0 | task 6271 |        eval time =    1972.31 ms /   152 tokens (   13.06 ms per token,    76.56 tokens per second)
10.34.881.197 I slot print_timing: id  0 | task 6271 |       total time =    2845.00 ms /  2111 tokens
10.34.881.198 I slot print_timing: id  0 | task 6271 |    graphs reused =       6236
10.34.881.334 I slot      release: id  0 | task 6271 | stop processing: n_tokens = 2110, truncated = 0
10.34.946.408 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 628624444
10.34.946.620 I slot launch_slot_: id  0 | task 6430 | processing task, is_child = 0
10.38.372.331 I slot print_timing: id  0 | task 6430 | prompt eval time =     652.23 ms /  1486 tokens (    0.44 ms per token,  2278.35 tokens per second)
10.38.372.343 I slot print_timing: id  0 | task 6430 |        eval time =    2773.45 ms /   197 tokens (   14.15 ms per token,    70.67 tokens per second)
